,open,high,low,close,volume
2013-10-02 00:00:00.600,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:00:10.900,1428.75,1428.75,1428.75,1428.75,25.0
2013-10-02 00:00:19.400,1429.0,1429.0,1429.0,1429.0,28.0
2013-10-02 00:00:19.500,1429.0,1429.0,1429.0,1429.0,28.0
2013-10-02 00:00:19.600,1429.0,1429.0,1429.0,1429.0,3.0
2013-10-02 00:00:24.000,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:00:24.400,1429.0,1429.0,1429.0,1429.0,2.0
2013-10-02 00:00:40.600,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:00:44.100,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:00:47.400,1429.0,1429.0,1429.0,1429.0,1.0
2013-10-02 00:00:50.100,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:00:50.200,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:00:50.300,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:01:00.000,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:01:01.100,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:01:01.400,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:01:29.600,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:01:33.900,1428.75,1428.75,1428.75,1428.75,8.0
2013-10-02 00:01:35.300,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:01:37.000,1428.75,1428.75,1428.75,1428.75,2.0
2013-10-02 00:01:37.600,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:01:44.500,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:01:59.800,1429.0,1429.0,1429.0,1429.0,4.0
2013-10-02 00:02:01.800,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:02:54.400,1428.75,1428.75,1428.75,1428.75,2.0
2013-10-02 00:03:08.100,1428.75,1428.75,1428.75,1428.75,2.0
2013-10-02 00:03:08.500,1429.0,1429.0,1429.0,1429.0,2.0
2013-10-02 00:03:10.300,1429.0,1429.0,1429.0,1429.0,2.0
2013-10-02 00:03:11.800,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:03:13.400,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:03:24.300,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:03:35.000,1429.0,1429.0,1429.0,1429.0,5.0
2013-10-02 00:03:40.800,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:03:40.900,1428.75,1428.75,1428.75,1428.75,1.0
2013-10-02 00:03:42.900,1428.75,1428.75,1428.75,1428.75,3.0
